Time[s], CS, SO_SIO1, WP_SIO2, SO_SO00, SCLK, RESET_SI03
0.007214686, 0, 0, 1, 0, 0, 0
0.007214774, 0, 0, 1, 0, 1, 0
0.007214864, 0, 0, 1, 0, 0, 0
0.007214952, 0, 0, 1, 0, 1, 0
0.007215042, 0, 0, 1, 0, 0, 0
0.007216130, 0, 0, 1, 0, 1, 0
0.007216222, 0, 0, 1, 0, 0, 0
0.007216308, 0, 0, 1, 0, 1, 0
0.007216400, 0, 0, 1, 0, 0, 0
0.007216486, 0, 0, 1, 0, 1, 0
0.007216578, 0, 0, 1, 0, 0, 0
0.007216664, 0, 0, 1, 0, 1, 0
0.007216756, 0, 0, 1, 0, 0, 0
0.007216842, 0, 0, 1, 0, 1, 0
0.007216934, 0, 0, 1, 0, 0, 0
0.007217020, 0, 0, 1, 0, 1, 0
0.007217110, 0, 0, 1, 0, 0, 0
0.007217198, 0, 0, 1, 0, 1, 0
0.007217288, 0, 0, 1, 0, 0, 0
0.007217376, 0, 0, 1, 0, 1, 0
0.007217466, 0, 0, 1, 0, 0, 0
0.007218796, 0, 0, 1, 0, 1, 0
0.007218886, 0, 0, 1, 0, 0, 0
0.007218974, 0, 0, 1, 0, 1, 0
0.007219064, 0, 0, 1, 0, 0, 0
0.007219152, 0, 0, 1, 0, 1, 0
0.007219242, 0, 0, 1, 0, 0, 0
0.007219330, 0, 0, 1, 0, 1, 0
0.007219420, 0, 0, 1, 0, 0, 0
0.007219508, 0, 0, 1, 0, 1, 0
0.007219598, 0, 0, 1, 0, 0, 0
0.007219686, 0, 0, 1, 0, 1, 0
0.007219776, 0, 0, 1, 0, 0, 0
0.007219864, 0, 0, 1, 0, 1, 0
0.007219954, 0, 0, 1, 0, 0, 0
0.007220042, 0, 0, 1, 0, 1, 0
0.007220132, 0, 0, 1, 0, 0, 0
0.007221242, 0, 0, 1, 0, 1, 0
0.007221332, 0, 1, 1, 0, 1, 0
0.007221334, 0, 1, 1, 0, 0, 0
0.007221420, 0, 1, 1, 0, 1, 0
0.007221510, 0, 1, 1, 0, 0, 0
0.007221598, 0, 1, 1, 0, 1, 0
0.007221688, 0, 1, 1, 0, 0, 0
0.007221690, 0, 0, 1, 0, 0, 0
0.007221776, 0, 0, 1, 0, 1, 0
0.007221866, 0, 0, 1, 0, 0, 0
